ID;nom;adresse;commune;etat;type;geo;nbPlacesDispo;nbVelosDispo;etatConnexion;localisation;datemiseajour
11;NOUVEAU SIECLE;10 RUE DE PAS;LILLE;EN SERVICE;AVEC TPE;50.63734,3.060977;26;6;CONNECTED;50.63734,3.060977;2022-06-20T22:30:12+02:00
226;CHARLES DE GAULLE;72, RUE DE LILLE;ROUBAIX;EN SERVICE;AVEC TPE;50.68645,3.170006;5;11;CONNECTED;50.68645,3.170006;2022-06-20T22:30:14+02:00
60;TREVISE;114 RUE DE DOUAI;LILLE;EN SERVICE;AVEC TPE;50.621185,3.072363;10;10;CONNECTED;50.621185,3.072363;2022-06-20T22:30:13+02:00
18;VOLTAIRE;93 RUE ROYALE;LILLE;EN SERVICE;AVEC TPE;50.6428,3.055932;7;7;CONNECTED;50.6428,3.055932;2022-06-20T22:30:12+02:00
236;CHAPTAL;3, RUE D'AVELGHEM;ROUBAIX;EN SERVICE;SANS TPE;50.694714,3.192643;9;3;CONNECTED;50.694714,3.192643;2022-06-20T22:30:14+02:00
101;MONS SARTS;AVENUE DES ACACIAS;MONS EN BAROEUL;EN SERVICE;AVEC TPE;50.6423,3.099291;19;5;CONNECTED;50.6423,3.099291;2022-06-20T22:30:13+02:00
45;BRULE MAISON;51 RUE DES POSTES;LILLE;EN SERVICE;AVEC TPE;50.62633,3.05659;9;9;CONNECTED;50.62633,3.05659;2022-06-20T22:30:12+02:00
251;COLBERT;RUE DE GAND (FACE AU LYCÉE);TOURCOING;EN SERVICE;SANS TPE;50.72551,3.156554;11;7;CONNECTED;50.72551,3.156554;2022-06-20T22:30:14+02:00
103;LACORDAIRE;44 RUE LACORDAIRE;MONS EN BAROEUL;EN SERVICE;AVEC TPE;50.639828,3.106677;10;6;CONNECTED;50.639828,3.106677;2022-06-20T22:30:13+02:00
51;JB LEBAS;2 RUE CAMBRAI;LILLE;EN SERVICE;AVEC TPE;50.62482,3.068689;14;18;CONNECTED;50.62482,3.068689;2022-06-20T22:30:13+02:00
253;AVENUE MILLET;SECTEUR RUE CONDORCET;TOURCOING;EN SERVICE;SANS TPE;50.72498,3.150884;6;6;CONNECTED;50.72498,3.150884;2022-06-20T22:30:14+02:00
147;FAUBOURG D'ARRAS;2 RUE MARCEL HÉNAUX;LILLE;EN SERVICE;SANS TPE;50.614052,3.062195;12;4;CONNECTED;50.614052,3.062195;2022-06-20T22:30:13+02:00
54;METRO WAZEMMES;93 RUE RACINE;LILLE;EN SERVICE;AVEC TPE;50.62338,3.051565;12;8;CONNECTED;50.62338,3.051565;2022-06-20T22:30:13+02:00
